index,name,activity,celebrity_indice,phone_number,web_site,adresse
21,Direction Des Examens Et Concours,Administration publique régionale,"3,7 (19)",96 96 72 68,N/A,Rue l`Inspection
22,Ministère de l'Enseignement Supérieur et de la Recherche Scientifique,Administration gouvernementale,"3,9 (16)",21 30 06 81,https://enseignementsuperieur.gouv.bj/,"9C28+Q9R, Ave Jean-Paul II"
23,Centre de formation,Média,"5,0 (1)",95 33 44 57,https://centre-de-formation-media-company.business.site/?utm_source=gmb&utm_medium=referral,995C+4RG
24,Office du Baccalauréat Bénin.,Siège social,"4,0 (196)",21 32 02 64,http://www.officedubacbenin.bj/,Rue 222
25,Centre Numérique International du Bénin,Centre de formation,N/A N/A,94 95 84 85,N/A,"2ème étage, Immeuble BENELLI ex APSONIC"
26,Commission Electorale Nationale Autonome,Administration,"3,0 (4)",97 26 95 71,http://www.cena.bj/,"9C2M+PXR, Boulevard de la Marina"
27,Club 8 Billard Cotonou,Club de jeux de société,"5,0 (1)",https://www.google.com/maps/place/Club+8+Billard+Cotonou/data=!4m7!3m6!1s0x1023553e65a3b555:0x6adea230e690525c!8m2!3d6.3729511!4d2.4248638!16s%2Fg%2F11p66vh11n!19sChIJVbWjZT5VIxARXFKQ5jCi3mo?authuser=0&hl=fr&rclk=1,N/A,237 Ave de la Liberation
28,Club billard,Bistro,N/A N/A,65 08 27 28,N/A,06 BP1736 Abomey Calavi ZOPAH
29,Groupement National des Sapeurs-Pompier,Caserne de pompiers,"3,7 (10)",21 30 30 11,N/A,"9C6C+P7V, Rue 400"
30,GROUPEMENT NATIONAL DE SAPEURS-POMPIERS DU BENIN. Centre de secour d’Abomey-Calavi,Caserne de pompiers,"3,5 (2)",91 02 41 41,N/A,F8FR+398
31,Institut Supérieur des Métiers de l'Audiovisuel (ISMA) Bénin,Université privée,"4,2 (56)",97 27 49 49,http://isma-benin.org/,97 27 49 49
32,BRIGADE DE VÉRIFICATION CIPE COTONOU,Administration,N/A N/A,https://www.google.com/maps/place/BRIGADE+DE+V%C3%89RIFICATION+CIPE+COTONOU/data=!4m7!3m6!1s0x102355b9bde0d02b:0xead6c50b785afa00!8m2!3d6.3565892!4d2.406601!16s%2Fg%2F11p4jgl0gx!19sChIJK9DgvblVIxARAPpaeAvF1uo?authuser=0&hl=fr&rclk=1,N/A,"9C44+JJQ, Rue 395"
33,HOME ACCESSORIES BY YESUS KHAROL,Magasin de luminaires,"5,0 (1)",97 47 78 78,N/A,97 47 78 78
34,Marangoss Meubles & Décors,Magasin d'ameublement et de décoration,"3,7 (7)",https://www.google.com/maps/place/Marangoss+Meubles+%26+D%C3%A9cors/data=!4m7!3m6!1s0x1023556178f53e0f:0xc15f38bda12c1461!8m2!3d6.3614941!4d2.4230701!16s%2Fg%2F11gy6csvgx!19sChIJDz71eGFVIxARYRQsob04X8E?authuser=0&hl=fr&rclk=1,N/A,Godomey Togoudo
35,MEUBLES SOCAR,Magasin d'ameublement et de décoration,N/A N/A,97 97 94 01,N/A,01BP8042
