index,name,activity,celebrity_indice,phone_number,web_site,adresse
101,Kafui & Partners Benin,Avocat,"5,0 (40)",97 90 82 33,https://www.kafuipartners.com/,Cité Houeyiho Rue face SBEE Houeyiho
102,Cabinet d’avocats YABIT Armel Timothée,Avocat,"4,9 (7)",96 15 13 44,https://avocatyabit.bj/,9C54+WV4
103,Société Civile Professionnelle d’Avocats - GAMA,Avocat,"4,7 (7)",69 00 09 99,https://www.gama-avocatsafrique.com/,Rue en face de la clinique Aupiais C/756 Parcelle F Cadjehoun 2
104,CABINET D'AVOCATS GUY LAMBERT YEKPE,Cabinet d'avocats,"4,0 (4)",62 00 36 88,N/A,Rue des Dako Donou
105,Cabinet Robert M. DOSSOU,Cabinet d'avocats,"3,8 (4)",21 31 44 11,http://www.cabinetrobertdossou.com/a-propos-du-cabinet/article/contacts,Boulevard Steinmetz
106,Hélène Paty Law Firm,Cabinet d'avocats,"5,0 (5)",95 62 78 33,https://paty.legal/,"Lot 472, Porte 2177"
107,Le Cabinet D'avocats ANGELO HOUNKPATIN,Avocat généraliste,"5,0 (14)",21 32 17 11,N/A,"Rue No. 208 Parcelle ""C"" Sikecodji 01 BP 2753"
108,Cabinet d'Avocat BALOGOUN,Services juridiques,"5,0 (2)",67 16 63 24,N/A,71 Ave de Roi Guezo
109,Cabinet d'avocats Me DAKO & Associés,Avocat,"5,0 (1)",https://www.google.com/maps/place/Cabinet+d%27avocats+Me+DAKO+%26+Associ%C3%A9s/data=!4m7!3m6!1s0x102355dc066043eb:0xbbe573a26c70ace!8m2!3d6.3685208!4d2.4106189!16s%2Fg%2F11tj929kvn!19sChIJ60NgBtxVIxARzgrHJjpXvgs?authuser=0&hl=fr&rclk=1,N/A,Rue 616
110,Cabinet T.S. Brice Zinzindohoue,Cabinet d'avocats,"4,7 (3)",97 01 33 34,N/A,97 01 33 34
111,SCPA HK,Avocat,"4,3 (3)",62 41 20 29,http://www.scpahk.com/,62 41 20 29
112,Cabinet d’avocats Élie N VLAVONOU KPONOU,Avocat,"4,5 (2)",21 32 61 68,N/A,9CF3+MG
113,Cabinet d'avocat Me Alfred Mahugnon BOCOVO,Administration,N/A N/A,52 91 25 58,N/A,"9C3J+R3X, Rue du Gouverneur Fourn"
114,Cabinet d'avocats Jean Claude Gbogblenou,Avocat,N/A N/A,90 92 69 64,N/A,04BP622 Cadjèhoun
115,Cabinet de Me Gracia Noutais Holo,Avocat plaidant,"5,0 (1)",21 30 23 00,N/A,21 30 23 00
116,Maître Mariel Christian Gansou (Cabinet d'avocat GMC),Cabinet d'avocats,"4,0 (1)",91 40 75 75,N/A,04 BP 0608
117,Cabinet me SAÏZONOU,Avocat plaidant,N/A N/A,https://www.google.com/maps/place/Cabinet+me+SA%C3%8FZONOU/data=!4m7!3m6!1s0x102355f86062cc0b:0xbe8123df30740587!8m2!3d6.3554498!4d2.4205211!16s%2Fg%2F11tt23zlk9!19sChIJC8xiYPhVIxARhwV0MN8jgb4?authuser=0&hl=fr&rclk=1,N/A,9C4C+562
